"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance","pitcher_run_exp","run_exp"
57,690993,"Keith, Colt",216,26.4,0.208,0.019,0.262,0.226,0.23,0.323,0.27,11,53,90.5,6.9,2271,87.1,85.57,9,51,6,-1.5,6.43,114,144,118,150,292,322,297,"2","-2"
57,641680,"Heim, Jonah",205,27.8,0.255,0.145,0.308,0.4,0.301,0.26,0.226,14,55,88.4,19.6,2196,87.3,87.17,11,52,5,-0.09999999999999432,6.34,112,147,124,150,297,323,297,"-2.7","2.7"
57,687363,"Scott II, Victor",198,28.8,0.098,0.059,0.122,0.157,0.149,0.214,0.161,5,51,86.9,12.9,2179,90.1,90.56,7,48,9,0.5,6.56,107,144,97,147,283,314,300,"4.8","-4.8"
56,608385,"Winker, Jesse",251,22.3,0.341,0.159,0.412,0.5,0.442,0.382,0.269,15,44,87.3,11.5,2200,90.1,90.47,4,39,17,0.4000000000000057,6.54,121,146,123,151,283,312,297,"-3","3"
56,681082,"Stott, Bryson",207,27.1,0.224,0.082,0.25,0.306,0.28,0.32,0.252,11,49,85.8,15.5,2232,90.3,90.82,9,50,6,0.5,6.6,116,145,113,150,287,317,299,"0.4","-0.4"
56,592273,"Drury, Brandon",212,26.4,0.196,0.078,0.237,0.275,0.252,0.3,0.236,10,51,86.6,-5.1,2287,89.3,89.52,9,48,8,0.20000000000000284,6.58,107,150,121,143,303,324,293,"2.9","-2.9"
56,656582,"Joe, Connor",204,27.5,0.292,0.167,0.333,0.458,0.381,0.325,0.239,14,48,80.6,6.5,2221,89.1,89.38,7,47,9,0.30000000000001137,6.53,105,149,118,145,299,315,285,"-6.2","6.2"
56,676059,"Westburg, Jordan",209,26.8,0.265,0.245,0.286,0.51,0.375,0.397,0.296,13,49,91,16.2,2290,89.7,89.9,10,49,7,0.20000000000000284,6.51,109,150,118,146,309,326,293,"-5.5","5.5"
56,683737,"Busch, Michael",252,22.2,0.327,0.367,0.355,0.694,0.457,0.473,0.319,16,49,93.2,21.7,2280,89.7,89.84,11,47,9,0.09999999999999432,6.46,116,146,131,152,294,326,304,"-6.1","6.1"
56,608841,"Meneses, Joey",216,25.9,0.204,0.02,0.27,0.224,0.244,0.288,0.227,10,49,86.6,4.9,2204,88.4,88.73,9,46,10,0.29999999999999716,6.52,104,149,121,147,297,313,285,"2.9","-2.9"
56,641933,"O'Neill, Tyler",247,22.7,0.304,0.457,0.269,0.761,0.498,0.435,0.27,14,46,92,28.7,2200,89.6,89.54,7,40,16,-0.09999999999999432,6.3,105,152,121,146,296,322,299,"-3.7","3.7"
56,665750,"Taveras, Leody",186,30.1,0.2,0.1,0.233,0.3,0.261,0.285,0.24,10,50,86.2,16.8,2176,87.6,87.56,5,49,7,0,6.41,111,146,110,149,293,320,294,"6.4","-6.4"
56,453568,"Blackmon, Charlie",216,25.9,0.28,0.2,0.31,0.48,0.367,0.346,0.274,14,50,86.2,15.8,2148,88.7,89.2,7,50,6,0.5,6.47,117,146,120,152,289,322,297,"-4.1","4.1"
55,605204,"Davis, J.D.",201,27.4,0.196,0.176,0.242,0.373,0.279,0.274,0.205,10,51,92.2,2.7,2098,89.1,89.49,15,50,5,0.4000000000000057,6.6,107,151,122,146,304,320,292,"2.6","-2.6"
55,656555,"Hoskins, Rhys",248,22.2,0.25,0.25,0.257,0.5,0.358,0.399,0.272,12,48,87.7,18.7,2276,90.3,90.62,10,48,7,0.29999999999999716,6.57,109,152,123,145,302,323,291,"2.9","-2.9"
55,702358,"Lipscomb, Trey",208,26.4,0.224,0.061,0.263,0.286,0.258,0.267,0.237,11,49,85.3,-7.5,2193,87.9,88.21,8,48,7,0.29999999999999716,6.47,104,147,119,147,295,312,284,"2.7","-2.7"
55,519317,"Stanton, Giancarlo",213,25.8,0.25,0.288,0.3,0.538,0.357,0.32,0.232,13,52,92.2,9.1,2181,89,87.48,14,48,7,-1.5,6.51,108,151,123,145,301,324,292,"-3.1","3.1"
55,592178,"Bryant, Kris",214,25.7,0.149,0.106,0.214,0.255,0.255,0.278,0.176,7,47,89.3,25.2,2204,87.3,87.81,17,46,9,0.5,6.5,109,151,120,146,303,323,290,"1.9","-1.9"
55,676369,"Velázquez, Nelson",225,24.4,0.314,0.176,0.483,0.49,0.376,0.324,0.256,16,51,91.9,8.8,2307,87.2,87.73,16,47,8,0.5,6.57,112,150,121,146,305,324,300,"-2.2","2.2"
54,457759,"Turner, Justin",237,22.8,0.386,0.227,0.432,0.614,0.472,0.432,0.338,17,44,92.3,24.4,2338,89.8,89.93,5,43,11,0.10000000000000853,6.54,108,152,122,146,301,327,286,"-6.7","6.7"
54,672386,"Kirk, Alejandro",224,24.1,0.17,0,0.205,0.17,0.212,0.267,0.217,8,47,88.2,7.6,2292,89.9,89.9,7,46,8,0,6.53,107,151,123,148,298,322,282,"4","-4"
54,643446,"McNeil, Jeff",201,26.9,0.222,0.089,0.225,0.311,0.314,0.325,0.244,10,45,84.8,14,2235,88.9,89.26,3,44,10,0.3999999999999915,6.59,118,146,119,151,280,318,300,"0.7","-0.7"
54,665120,"Walsh, Jared",240,22.5,0.25,0.104,0.379,0.354,0.314,0.34,0.258,12,48,85.6,24.3,2309,89,88.94,13,43,11,-0.09999999999999432,6.38,114,146,123,151,297,323,297,"0.4","-0.4"
54,671732,"Butler, Lawrence",223,24.2,0.217,0.13,0.281,0.348,0.314,0.42,0.29,10,46,94.6,14.6,2249,88.3,88.73,11,44,10,0.4000000000000057,6.61,117,147,120,152,290,322,302,"-2.2","2.2"
54,682928,"Abrams, CJ",218,24.8,0.286,0.306,0.333,0.592,0.398,0.419,0.344,14,49,90.1,16.5,2194,88.7,88.93,12,49,5,0.20000000000000284,6.45,119,145,113,150,281,313,298,"-5.8","5.8"
54,694192,"Chourio, Jackson",191,28.3,0.24,0.14,0.303,0.38,0.29,0.227,0.179,12,50,83.3,8.4,2276,88.1,88.36,14,49,5,0.30000000000001137,6.57,104,149,115,146,299,319,283,"0.1","-0.1"
53,641313,"Anderson, Tim",190,27.9,0.275,0.02,0.412,0.294,0.272,0.229,0.223,14,51,86.9,-1.6,2236,89.1,89.31,14,48,5,0.20000000000000284,6.46,109,150,120,149,306,318,286,"2.5","-2.5"
53,592663,"Realmuto, J.T.",216,24.5,0.265,0.122,0.355,0.388,0.318,0.324,0.258,13,49,90.4,13.3,2289,89.5,90.18,14,47,6,0.7000000000000028,6.7,107,151,119,147,304,319,291,"-0.5","0.5"
53,656775,"Mullins, Cedric",206,25.7,0.261,0.239,0.3,0.5,0.358,0.32,0.256,12,46,89,18.5,2218,88.9,89.31,10,44,9,0.3999999999999915,6.55,111,146,110,151,290,323,299,"-6.2","6.2"
53,680779,"Davis, Henry",227,23.3,0.186,0.07,0.276,0.256,0.265,0.259,0.186,8,43,87,22.6,2243,91,91.32,11,40,13,0.29999999999999716,6.56,105,151,120,146,301,316,287,"2.9","-2.9"
53,678882,"Rafaela, Ceddanne",195,27.2,0.17,0.106,0.229,0.277,0.224,0.232,0.185,8,47,81.5,14.7,2161,88.9,89.02,11,46,7,0.09999999999999432,6.38,105,149,111,143,295,320,294,"1.1","-1.1"
53,664913,"Brown, Seth",209,25.4,0.208,0.083,0.3,0.292,0.266,0.281,0.217,10,48,87.1,18.9,2065,90.1,90.41,13,44,9,0.30000000000001137,6.53,116,145,125,150,291,323,303,"3.1","-3.1"
53,687263,"Neto, Zach",197,26.9,0.188,0.063,0.265,0.25,0.241,0.284,0.198,9,48,88,14.7,2286,87.2,87.49,10,44,9,0.29999999999999716,6.62,109,151,114,144,300,322,292,"2.7","-2.7"
53,669004,"Melendez, MJ",229,23.1,0.277,0.298,0.313,0.574,0.402,0.417,0.304,13,47,93.5,14.5,2271,90.2,90.81,9,44,9,0.5999999999999943,6.6,115,146,126,152,300,324,307,"-5","5"
53,467793,"Santana, Carlos",219,24.2,0.125,0.021,0.167,0.146,0.176,0.242,0.193,6,48,92.2,16.4,2148,89.4,89.85,10,46,7,0.3999999999999915,6.59,112,146,130,151,297,325,297,"9.2","-9.2"
53,666158,"Lux, Gavin",208,25.5,0.163,0.02,0.222,0.184,0.196,0.266,0.235,8,49,84.7,12.5,2267,88.6,88.66,7,43,10,0.10000000000000853,6.33,118,146,120,153,291,316,296,"2","-2"
52,676801,"McCormick, Chas",211,24.6,0.244,0.067,0.324,0.311,0.307,0.26,0.19,11,45,84,19.2,2306,88.4,88.64,11,45,7,0.19999999999998863,6.57,108,151,113,146,300,329,290,"-1.9","1.9"
52,666397,"Julien, Edouard",231,22.5,0.196,0.283,0.217,0.478,0.334,0.313,0.197,9,46,89.2,10,2321,90,90.73,9,36,16,0.7000000000000028,6.65,118,146,126,151,289,327,301,"1.7","-1.7"
52,641598,"Garver, Mitch",202,25.7,0.156,0.067,0.233,0.222,0.225,0.24,0.151,7,45,89.5,19.5,2200,89.9,90.26,14,44,8,0.3999999999999915,6.55,105,153,120,146,297,319,292,"4.7","-4.7"
52,664034,"France, Ty",208,25,0.28,0.04,0.389,0.32,0.284,0.376,0.318,14,50,93.9,8.9,2183,88.3,88.66,11,47,5,0.4000000000000057,6.51,106,153,120,147,297,318,283,"0.7","-0.7"
51,681351,"O'Hoppe, Logan",218,23.4,0.364,0.159,0.441,0.523,0.432,0.434,0.342,16,44,92.9,17.7,2318,88.1,88.4,9,44,7,0.30000000000001137,6.54,106,151,121,144,300,322,294,"-7.1","7.1"
51,668930,"Turang, Brice",196,26,0.362,0.149,0.421,0.511,0.394,0.298,0.265,17,47,85,8.8,2265,90.6,90.94,4,43,8,0.30000000000001137,6.55,110,145,108,149,285,316,294,"-3.6","3.6"
